epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,100.543,2.93588,3.99647,2.15971,0.00145,0.07806,0.00256,0.00069,2.81946,4.01539,1.84405,0.00035725,0.00035725,0.00035725
2,191.271,2.70534,3.3787,1.88833,0.00727,0.31027,0.01925,0.00469,2.97322,3.60703,2.04518,0.00071436,0.00071436,0.00071436
3,283.444,2.70022,3.23771,1.8684,0.05317,0.08571,0.03038,0.00807,2.85606,8.49398,2.32539,0.00105676,0.00105676,0.00105676
4,371.639,2.59408,3.10572,1.82663,0.10521,0.08945,0.04115,0.01089,2.81073,4.07435,2.07205,0.00134412,0.00134412,0.00134412
5,462.609,2.58898,3.08145,1.80446,0.06186,0.27918,0.04268,0.01075,2.83329,6.00354,2.03064,0.00131582,0.00131582,0.00131582
6,552.006,2.57346,2.94786,1.84704,0.13882,0.1179,0.0469,0.01279,2.7504,3.21938,2.05446,0.00128753,0.00128753,0.00128753
7,639.788,2.54303,2.93321,1.79277,0.1023,0.17143,0.07295,0.01946,2.68808,3.52563,1.88156,0.00125923,0.00125923,0.00125923
8,726.501,2.53015,2.9115,1.76897,0.14758,0.18926,0.08755,0.02311,2.66344,3.21335,1.88101,0.00123094,0.00123094,0.00123094
9,813.553,2.52161,2.80493,1.75291,0.11992,0.1541,0.07269,0.02083,2.6867,3.53737,1.99723,0.00120265,0.00120265,0.00120265
10,920.229,2.57294,2.85215,1.79973,0.12935,0.1634,0.06484,0.01849,2.67366,3.19484,1.89929,0.00117435,0.00117435,0.00117435
11,1007.93,2.4947,2.83231,1.77947,0.13618,0.13231,0.07955,0.02182,2.58545,2.95915,1.9002,0.00114606,0.00114606,0.00114606
12,1096.16,2.5007,2.78593,1.81752,0.14714,0.16517,0.08756,0.02575,2.61865,2.8873,1.8785,0.00111776,0.00111776,0.00111776
13,1185.24,2.45856,2.73527,1.78156,0.1992,0.1183,0.10347,0.03001,2.61672,2.95832,1.85819,0.00108947,0.00108947,0.00108947
14,1273.96,2.50822,2.77512,1.76769,0.22871,0.16035,0.09584,0.02895,2.54936,2.75211,1.80807,0.00106118,0.00106118,0.00106118
15,1362.46,2.46518,2.71954,1.72601,0.16296,0.17656,0.10108,0.02734,2.53782,2.79373,1.75945,0.00103288,0.00103288,0.00103288
16,1450.83,2.45279,2.65375,1.73831,0.15604,0.19813,0.09681,0.0256,2.60176,2.85353,1.87704,0.00100459,0.00100459,0.00100459
17,1687.02,2.44703,2.67717,1.74916,0.14687,0.17778,0.09279,0.02443,2.58211,3.19078,1.92338,0.000976293,0.000976293,0.000976293
18,1774.86,2.40413,2.6626,1.77017,0.14988,0.17449,0.09063,0.02377,2.55187,2.82653,1.87584,0.000947999,0.000947999,0.000947999
19,1863.33,2.42431,2.6061,1.73564,0.16043,0.22148,0.1114,0.02649,2.56278,2.76233,1.77027,0.000919704,0.000919704,0.000919704
20,1951.76,2.38471,2.60643,1.72155,0.14723,0.19767,0.10493,0.02685,2.58481,2.81447,1.78324,0.00089141,0.00089141,0.00089141
21,2041.52,2.3813,2.5566,1.67739,0.15098,0.21531,0.10638,0.02704,2.58944,2.88575,1.77722,0.000863116,0.000863116,0.000863116
22,2129.54,2.39723,2.5579,1.7046,0.19063,0.13445,0.08756,0.02556,2.52604,2.76263,1.84502,0.000834822,0.000834822,0.000834822
23,2217.51,2.36268,2.56293,1.70488,0.20318,0.13501,0.09581,0.02817,2.57279,2.8311,1.91409,0.000806528,0.000806528,0.000806528
24,2307.52,2.34275,2.57189,1.68798,0.21578,0.17143,0.10907,0.03137,2.52655,2.77981,1.81514,0.000778233,0.000778233,0.000778233
25,2395.67,2.33351,2.50439,1.67454,0.20022,0.17361,0.11106,0.03299,2.54933,2.67177,1.84147,0.000749939,0.000749939,0.000749939
26,2483.45,2.31245,2.46371,1.6363,0.16127,0.20803,0.11978,0.03196,2.52119,2.64881,1.76149,0.000721645,0.000721645,0.000721645
27,2572.75,2.34245,2.43707,1.67815,0.1459,0.17152,0.09725,0.02573,2.54806,2.69737,1.73933,0.000693351,0.000693351,0.000693351
28,2660.73,2.26841,2.39803,1.63574,0.18321,0.21536,0.12327,0.03474,2.57241,2.69087,1.77511,0.000665057,0.000665057,0.000665057
29,2749.07,2.2941,2.43236,1.64082,0.18869,0.19434,0.11114,0.03078,2.52848,2.66795,1.7528,0.000636762,0.000636762,0.000636762
30,2837.33,2.29976,2.40434,1.65915,0.20711,0.16508,0.10936,0.03404,2.53604,2.69083,1.79429,0.000608468,0.000608468,0.000608468
31,2925.59,2.29348,2.34907,1.6511,0.22698,0.16629,0.12557,0.03862,2.57246,2.62943,1.80972,0.000580174,0.000580174,0.000580174
32,3013.24,2.29412,2.32095,1.62734,0.20691,0.18319,0.10642,0.02958,2.55232,2.60518,1.78293,0.00055188,0.00055188,0.00055188
33,3101.43,2.24646,2.36717,1.61625,0.32239,0.1577,0.14603,0.04398,2.51239,2.58451,1.78023,0.000523586,0.000523586,0.000523586
34,3190.69,2.29219,2.37478,1.63051,0.19756,0.22362,0.12942,0.03744,2.51191,2.64613,1.74933,0.000495291,0.000495291,0.000495291
35,3278.42,2.27495,2.34929,1.62323,0.22381,0.19468,0.12677,0.0413,2.50481,2.57271,1.77987,0.000466997,0.000466997,0.000466997
36,3366.75,2.23942,2.31011,1.60204,0.19424,0.23707,0.13635,0.04182,2.50951,2.55381,1.74154,0.000438703,0.000438703,0.000438703
37,3455.01,2.22906,2.26317,1.59011,0.20628,0.24006,0.1458,0.04377,2.55508,2.53584,1.77566,0.000410409,0.000410409,0.000410409
38,3542.48,2.2137,2.26818,1.6046,0.22739,0.20634,0.14166,0.041,2.54733,2.54165,1.79566,0.000382115,0.000382115,0.000382115
39,3633.48,2.23042,2.24533,1.57961,0.18681,0.17432,0.1308,0.03944,2.55234,2.55059,1.77724,0.00035382,0.00035382,0.00035382
40,3723.78,2.17926,2.17485,1.5527,0.18601,0.23251,0.13737,0.04099,2.5568,2.57455,1.78685,0.000325526,0.000325526,0.000325526
41,3811.83,2.23861,2.2756,1.61643,0.21289,0.18954,0.13364,0.04101,2.53707,2.55728,1.80228,0.000297232,0.000297232,0.000297232
42,3899.21,2.19736,2.20759,1.63043,0.2263,0.16975,0.12721,0.03784,2.53027,2.56056,1.79677,0.000268938,0.000268938,0.000268938
43,3986.93,2.19557,2.20985,1.60151,0.23618,0.18543,0.1428,0.04144,2.54025,2.55826,1.794,0.000240644,0.000240644,0.000240644
44,4077.04,2.15554,2.13521,1.60975,0.21048,0.1944,0.1428,0.04262,2.54415,2.54779,1.78792,0.000212349,0.000212349,0.000212349
45,4166.01,2.14594,2.13229,1.5901,0.19407,0.21968,0.13816,0.04158,2.56885,2.5442,1.78036,0.000184055,0.000184055,0.000184055
46,4254.94,2.12867,2.11363,1.60741,0.25521,0.20875,0.1613,0.04772,2.55229,2.52892,1.79526,0.000155761,0.000155761,0.000155761
47,4344.05,2.1399,2.1047,1.61142,0.24324,0.19276,0.14649,0.04437,2.56987,2.54476,1.80065,0.000127467,0.000127467,0.000127467
48,4433.05,2.11987,2.08971,1.59499,0.23155,0.21083,0.14923,0.0448,2.56964,2.54993,1.80093,9.91726e-05,9.91726e-05,9.91726e-05
49,4521.13,2.13415,2.07005,1.58488,0.24716,0.20319,0.1425,0.04501,2.56413,2.55126,1.80924,7.08784e-05,7.08784e-05,7.08784e-05
50,4609.29,2.12294,2.0609,1.58613,0.24466,0.19664,0.14448,0.04599,2.5626,2.55296,1.81198,4.25842e-05,4.25842e-05,4.25842e-05
